"lat","lon","Nucifraga_caryocatactes","Merops_apiaster","Grus_grus","Coenagrion_mercuriale","Ophiogomphus_cecilia","Phaneroptera_falcata","Pinus_cembra","Corylus_avellana"
37.75,20.75,0,0,0,0,0,0,0,0
37.75,21.25,0,1,0,0,0,0,0,0
37.75,21.75,0,1,0,0,0,0,0,0
37.75,22.25,0,0,0,0,0,0,0,1
37.75,22.75,0,0,0,0,0,0,0,0
37.75,23.25,0,0,0,0,0,0,0,0
37.75,23.75,0,0,0,0,0,0,0,0
37.75,24.25,0,0,0,0,0,0,0,0
37.75,24.75,0,0,0,0,0,0,0,0
37.75,25.25,0,1,0,0,0,0,0,0
37.75,25.75,0,0,0,0,0,0,0,0
37.75,26.25,0,0,0,0,0,0,0,0
37.75,26.75,0,1,0,0,0,0,0,0
37.75,27.25,0,0,0,0,0,0,0,0
38.25,-9.25,0,0,0,1,0,0,0,0
38.25,-8.75,0,1,0,1,0,0,0,0
38.25,-8.25,0,1,0,1,0,0,0,0
38.25,-7.75,0,1,0,1,0,0,0,0
38.25,-7.25,0,1,0,1,0,0,0,0
38.25,-6.75,0,0,0,1,0,0,0,0
38.25,-6.25,0,1,0,1,0,0,0,0
38.25,-5.75,0,1,0,1,0,0,0,0
38.25,-5.25,0,0,0,1,0,0,0,0
38.25,-4.75,0,1,0,1,0,0,0,0
38.25,-4.25,0,1,0,1,0,0,0,0
38.25,-3.75,0,1,0,1,0,0,0,0
38.25,-3.25,0,1,0,1,0,0,0,0
38.25,-2.75,0,1,0,1,0,0,0,1
38.25,-2.25,0,1,0,1,0,0,0,1
38.25,-1.75,0,1,0,1,0,0,0,0
38.25,-1.25,0,1,0,1,0,0,0,0
38.25,-0.75,0,0,0,1,0,0,0,0
38.25,-0.25,0,0,0,1,0,0,0,0
38.25,12.75,0,0,0,1,0,0,0,0
38.25,13.25,0,0,0,1,0,0,0,0
38.25,13.75,0,0,0,1,0,0,0,0
38.25,14.25,0,0,0,1,0,0,0,0
38.25,14.75,0,0,0,1,0,0,0,0
38.25,15.25,0,0,0,1,0,0,0,0
38.25,15.75,0,0,0,1,0,0,0,0
38.25,16.25,0,0,0,1,0,0,0,0
38.25,16.75,0,0,0,1,0,0,0,0
38.25,20.25,0,0,0,0,0,0,0,0
38.25,20.75,0,1,0,0,0,0,0,0
