lat,lon,bio1_mean,bio2_mean,bio3_mean,bio4_mean,bio5_mean,bio6_mean,bio7_mean,bio8_mean,bio9_mean,bio10_mean,bio11_mean,bio12_mean,bio13_mean,bio14_mean,bio15_mean,bio16_mean,bio17_mean,bio18_mean,bio19_mean,tmin1_mean,tmin2_mean,tmin3_mean,tmin4_mean,tmin5_mean,tmin6_mean,tmin7_mean,tmin8_mean,tmin9_mean,tmin10_mean,tmin11_mean,tmin12_mean,tmax1_mean,tmax2_mean,tmax3_mean,tmax4_mean,tmax5_mean,tmax6_mean,tmax7_mean,tmax8_mean,tmax9_mean,tmax10_mean,tmax11_mean,tmax12_mean,alt_mean,prec1_mean,prec2_mean,prec3_mean,prec4_mean,prec5_mean,prec6_mean,prec7_mean,prec8_mean,prec9_mean,prec10_mean,prec11_mean,prec12_mean
35.25,23.75,179.33332824707,68.5,30.8333339691162,5563.66650390625,297.833343505859,79.8333358764648,217.83332824707,113,252.16667175293,252.16667175293,112.833335876465,670.166687011719,136.16667175293,2.5,83.5,363.833343505859,11.3333330154419,11.3333330154419,317,80.5,79.8333358764648,90.8333358764648,116.666664123535,152.33332824707,197.16667175293,218,222.66667175293,197.16667175293,161.83332824707,128.5,95.8333358764648,134.33332824707,137.83332824707,154.33332824707,190.66667175293,235.16667175293,280.166656494141,296.5,297.666656494141,269.333343505859,228,187.83332824707,149.83332824707,559,136.16667175293,100.833335876465,71.1666641235352,30.5,16,5.66666650772095,2.83333325386047,2.5,18.1666660308838,67.3333358764648,91.1666641235352,126.833335876465
35.25,24.25,185.142852783203,70.5714263916016,31.4285717010498,5586.71435546875,305.142852783203,84.4285736083984,220.714279174805,118.857139587402,259,259,118.857139587402,780,159.428573608398,2.71428561210632,83.4285736083984,427.142852783203,14.7142858505249,14.7142858505249,402.571441650391,84.4285736083984,84.5714263916016,95.5714263916016,122.571426391602,156.857147216797,204.285720825195,222.857147216797,228,200.571426391602,166.142852783203,132.857147216797,100.428573608398,142.571426391602,145.428573608398,160.857147216797,199.285720825195,241.571426391602,288.428558349609,304.285705566406,305.142852783203,275.857147216797,234,192.428573608398,155.428573608398,479.571428571429,159.428573608398,123.428573608398,87.4285736083984,33.7142868041992,19.4285717010498,8.2857141494751,3.57142853736877,2.71428561210632,20.7142848968506,81,95.5714263916016,144.285720825195
35.25,24.75,186.888885498047,65.7777786254883,30.3333339691162,5510.66650390625,302.111114501953,87.8888854980469,213.777770996094,121.888885498047,259.777770996094,259.777770996094,121.111114501953,801.333312988281,168.66667175293,2.11111116409302,83,435.444458007812,15.222222328186,15.222222328186,378.444458007812,87.8888854980469,88.3333358764648,98.3333358764648,126.555557250977,159.111114501953,209,227.111114501953,234.555557250977,205,169.555557250977,135.888885498047,105.555557250977,144.222229003906,146.33332824707,160.777770996094,200.222229003906,237.888885498047,285.555541992188,300,302.111114501953,272.888885498047,234.66667175293,194.555557250977,157.888885498047,465.111111111111,168.66667175293,119,90.5555572509766,32.5555572509766,22.5555553436279,9.33333301544189,3.88888883590698,2.11111116409302,23.2222213745117,88,94,147.777770996094
35.25,25.25,196.888885498047,59.2222213745117,28.6666660308838,5379,305.333343505859,101.222221374512,203.66667175293,133.777770996094,268.222229003906,268.222229003906,132.111114501953,604.111083984375,127.444442749023,1.11111116409302,82.5555572509766,323.777770996094,8.88888931274414,8.88888931274414,274.333343505859,101.333335876465,101.666664123535,110.111114501953,139.555557250977,170,223,240.66667175293,250.33332824707,219.111114501953,182,147.777770996094,120.222221374512,154.66667175293,155.777770996094,168.777770996094,207.888885498047,239.777770996094,289.111114501953,300.666656494141,305.333343505859,275.888885498047,244,203.888885498047,169.444442749023,294.777777777778,127.444442749023,82,64.7777786254883,24.6666660308838,18.5555553436279,5.55555534362793,2.11111116409302,1.11111116409302,18.8888893127441,69.1111145019531,75.2222213745117,114.222221374512
35.25,25.75,195.5,58.25,28.375,5311.25,302,100.375,201.625,143.5,265.25,265.25,131.375,549.5,121.375,1.25,86,303,6.75,6.75,250.25,101.125,100.375,109.625,138.25,169,219.875,238.5,249.625,219.625,182.75,148.125,119.875,154.375,154.5,167.5,205.25,236.5,284.125,296.5,302,275.5,243.875,204.875,170.125,321.75,121.375,70.125,58.375,22.625,16.5,4,1.75,1.25,14.375,58.375,70.25,110.25
35.25,26.25,203.33332824707,57.6666679382324,28.3333339691162,5235.83349609375,307.666656494141,108.833335876465,199,156,271.333343505859,271.333343505859,140,535.833312988281,122.333335876465,0.5,89,300.833343505859,4.5,4.5,250.16667175293,109.833335876465,108.833335876465,118,146,176.83332824707,226.66667175293,245.83332824707,257.833343505859,229.66667175293,192,156.83332824707,128,163.16667175293,164,177,212,242.33332824707,289.166656494141,301.666656494141,307.666656494141,284,252.66667175293,213.83332824707,180.5,181.666666666667,122.333335876465,69.3333358764648,58.6666679382324,21.8333339691162,14.3333330154419,2.83333325386047,0.666666686534882,1,12,54.3333320617676,69.6666641235352,108.833335876465
35.25,26.75,202,61,29,5353,310,106,205,156,271,272,138,612,151,1,96,365,4,13,291,106,106,115,143,175,223,243,256,230,189,153,123,161,162,175,210,244,289,304,310,289,252,215,179,216,151,77,63,21,15,2,1,1,11,56,81,134
35.25,27.25,207,62,30,5367.5,316,109.5,206,160.5,275,277,142,628.5,158,1,98.5,383.5,3,12,298.5,110,109.5,119,147,180,227,247,260,235,194,156,127,166,167.5,181,215,249,294,309,316,295,258,219.5,184.5,130,158,77.5,63,20,14,2,1,1,11,57,84.5,141
35.75,14.25,204,73.5,32.5,5337.5,330,107.5,222.5,188.5,272,276,141.5,484.5,92.5,0,82,258,9,47.5,155,107.5,108.5,115.5,132.5,165,204.5,232,241.5,224.5,190.5,155.5,125.5,166.5,169.5,182,207,250,293.5,328.5,330,301.5,260.5,218,182.5,95.9999999999998,78,45.5,31.5,14,7,3,0,6,41.5,92.5,77.5,87.5
35.75,14.75,207.5,75,33,5306.5,333.5,110.5,223,192.5,274.5,279.5,145.5,488,93.5,0,82,260,9,47,157,110.5,111.5,119,136,168,207,234.5,244.5,227,193.5,159,128,171,174,186,211,254,296.5,332,333.5,305.5,265,223,187,32.5,79,46.5,32,14,7,3,0,6,41,93.5,79,87.5
