lat,lon,bio1_mean,bio2_mean,bio3_mean,bio4_mean,bio5_mean,bio6_mean,bio7_mean,bio8_mean,bio9_mean,bio10_mean,bio11_mean,bio12_mean,bio13_mean,bio14_mean,bio15_mean,bio16_mean,bio17_mean,bio18_mean,bio19_mean,tmin1_mean,tmin2_mean,tmin3_mean,tmin4_mean,tmin5_mean,tmin6_mean,tmin7_mean,tmin8_mean,tmin9_mean,tmin10_mean,tmin11_mean,tmin12_mean,tmax1_mean,tmax2_mean,tmax3_mean,tmax4_mean,tmax5_mean,tmax6_mean,tmax7_mean,tmax8_mean,tmax9_mean,tmax10_mean,tmax11_mean,tmax12_mean,alt_mean,prec1_mean,prec2_mean,prec3_mean,prec4_mean,prec5_mean,prec6_mean,prec7_mean,prec8_mean,prec9_mean,prec10_mean,prec11_mean,prec12_mean
35.25,23.75,180.5,68.5,30.3333339691162,5733.33349609375,300.5,77.6666641235352,222.83332824707,111.666664123535,256,256,111.666664123535,698,147,2.66666674613953,85.1666641235352,378.5,12.3333330154419,12.3333330154419,368.5,77.6666641235352,77.8333358764648,91.5,117,157.5,204.16667175293,222.5,223.66667175293,197.16667175293,161.33332824707,128.5,95.8333358764648,132.16667175293,136.66667175293,154.66667175293,191.16667175293,239.66667175293,286.833343505859,300.5,297.666656494141,269.333343505859,228,187.83332824707,149.83332824707,559,147,94.3333358764648,78.1666641235352,37.1666679382324,14.8333330154419,6,2.83333325386047,3.33333325386047,11.8333330154419,77.5,87.5,137
35.25,24.25,185.428573608398,70.2857131958008,30.5714282989502,5748.28564453125,307.714294433594,81.4285736083984,226.285720825195,116.857139587402,262,262,116.857139587402,801.428588867188,168.857147216797,3,84.8571395874023,437.428558349609,15.5714282989502,15.5714282989502,412.142852783203,81.4285736083984,82.5714263916016,95.2857131958008,122.571426391602,161.142852783203,210.428573608398,226.285720825195,228,200,164.714279174805,131.857147216797,100.428573608398,139.571426391602,143,160.285720825195,198.714279174805,245,294.428558349609,307.714294433594,304.571441650391,275.714294433594,233.285720825195,192.285720825195,155,479.571428571429,168.857147216797,115.285713195801,94.5714263916016,41,16.8571434020996,8.7142858505249,3.57142853736877,3,13.8571424484253,91.7142868041992,90.7142868041992,153.428573608398
35.25,24.75,186.66667175293,65.1111145019531,29.4444446563721,5655.5556640625,302.666656494141,84.8888854980469,217.444442749023,119.888885498047,262.111114501953,262.111114501953,118.666664123535,813,175.66667175293,2.11111116409302,84.8888854980469,441.444458007812,15.777777671814,15.8888893127441,383.444458007812,84.8888854980469,86.2222213745117,97.8888854980469,126.222221374512,162.33332824707,214.444442749023,230,233.888885498047,203.66667175293,168,134.66667175293,105.555557250977,141.222229003906,142.777770996094,159.33332824707,198.444442749023,239.777770996094,291.111114501953,302.666656494141,300.666656494141,271.888885498047,233.222229003906,192.888885498047,157.222229003906,465.111111111111,175.66667175293,111.444442749023,96.4444427490234,40.3333320617676,18,10,3.88888883590698,2.11111116409302,15.8888893127441,97.3333358764648,87.6666641235352,154.444442749023
35.25,25.25,196.33332824707,58.5555572509766,28,5522.5556640625,304,98.3333358764648,205.555557250977,131.777770996094,270.444458007812,270.444458007812,129.888885498047,605.333312988281,130.555557250977,1.11111116409302,84.4444427490234,325.111114501953,9,9,276.111114501953,98.3333358764648,99.2222213745117,109.666664123535,138.888885498047,173,227.888885498047,243.444442749023,249.66667175293,217.222229003906,180.444442749023,146.444442749023,120.222221374512,151.66667175293,152.111114501953,167,205.777770996094,241.444442749023,294.222229003906,303.555541992188,303.888885498047,275,242.33332824707,202.222229003906,168.777770996094,294.777777777778,130.555557250977,77.3333358764648,68.1111145019531,30.6666660308838,14,5.55555534362793,2.11111116409302,1.11111116409302,13.5555553436279,75,69.8888854980469,117.111114501953
35.25,25.75,195.75,57.75,27.875,5466.5,301.625,98,203.375,141.875,268,268,129.375,547.875,123.375,1.25,87.25,301.5,6.75,6.75,250.75,98.125,98.375,109.25,138.25,172.25,225.125,242.25,249.875,218.625,181.625,146.625,119.875,151.625,151.5,166.5,204.25,238.75,289.5,300.125,301.625,274.5,242.625,203,169.5,321.75,123.375,67,60.5,28.125,12.375,4,1.75,1.25,11.25,62,65.75,110.625
35.25,26.25,204,57.3333320617676,28,5401,307.666656494141,106.666664123535,201,143.33332824707,275,275,138.16667175293,530.5,123.5,0.5,89.6666641235352,297.666656494141,4.5,4.5,250,106.833335876465,106.833335876465,117.666664123535,146.16667175293,180.5,232.66667175293,250.16667175293,258.833343505859,228.66667175293,191,155.16667175293,128,161.16667175293,161,176,211.33332824707,245.66667175293,294.333343505859,305.833343505859,307.666656494141,283.166656494141,251.5,213,179.66667175293,181.666666666667,123.5,66.1666641235352,60,27.1666660308838,10.5,2.83333325386047,0.666666686534882,1,9.83333301544189,55.6666679382324,65.3333358764648,108
35.25,26.75,203,60,28,5540,312,103,209,155,275,275,136,602,152,1,97,362,4,4,289,103,103,115,144,180,230,248,257,229,188,152,123,159,159,176,210,248,295,309,312,288,251,213,178,216,152,73,65,26,11,2,1,1,9,52,77,133
35.25,27.25,208,61.5,28.5,5562.5,318,106.5,211,159,280,280,140.5,615.5,159,1,100,380,3,3,296.5,107,106.5,119,148,185,234,252.5,262,235,193,155,127,164,164.5,182,216,254,300,314,318,294,256,217.5,184,130,159,73,65,24.5,11,2,1,1,8,51,80.5,141
35.75,14.25,205.5,74.5,32,5468.5,333,106,227,189,276,279,141.5,494.5,100,0,84.5,267.5,7.5,41.5,155.5,106,108.5,116.5,134.5,170.5,209.5,235,243.5,225,190.5,156.5,124.5,165,169.5,183,209,256,299.5,332.5,333,303,262,219.5,181.5,95.9999999999998,82,38,35.5,21,6,2.5,0,5,36.5,100,71.5,96
35.75,14.75,209,75.5,33,5434,336.5,109,227.5,193,278.5,282,145,496,100.5,0,84.5,269,7.5,41,157,109,111.5,120,138,173,212,237.5,246.5,228,193.5,160,127,169.5,174,187.5,213,260,302.5,336,336.5,306.5,266,224.5,186,32.5,83,39,36,21,6,2.5,0,5,36,100.5,72,96.5
